l1_A,l2_A,l1_W,l2_W,method,K,N,n,seed,n_frac,exp
2.920191401,0.049275154,110.7190257,9.62443988,LDA,3,50,100,1103005,0.5,1
2.210988914,0.041006887,75.32403231,7.542545672,TopicScore,3,50,100,1103005,0.5,1
2.215447124,0.038313557,43.07580667,5.014231832,AWR,3,50,100,1103005,0.5,1
3.110325799,0.063468918,38.2125505,4.516005649,TSVD,3,50,100,1103005,0.5,1
4.890039093,1.453284243,118.3282575,9.465148784,Bing,3,50,100,1103005,0.5,1
2.238832472,0.04294902,47.77728885,5.446362017,Ours_0.1,3,50,100,1103005,0.5,1
2.23948734,0.042298504,37.25819537,4.388589371,Ours_1,3,50,100,1103005,0.5,1
2.716378297,0.068966705,34.71384242,4.229440085,Ours_2,3,50,100,1103005,0.5,1
3.702740561,0.163274228,28.30789463,3.418833165,Ours_4,3,50,100,1103005,0.5,1
4.507642916,0.5226502,38.86658029,4.807799491,Ours_8,3,50,100,1103005,0.5,1
2.79305366,0.044213183,113.589758,9.426076792,LDA,3,80,100,1103008,0.8,1
1.936327503,0.030065193,46.6252057,4.68484511,TopicScore,3,80,100,1103008,0.8,1
2.17628023,0.036704444,46.0249574,4.645575581,AWR,3,80,100,1103008,0.8,1
2.864451817,0.04856697,42.40388477,4.240746604,TSVD,3,80,100,1103008,0.8,1
4.970147733,1.423942601,116.4639937,9.465703058,Bing,3,80,100,1103008,0.8,1
1.945002244,0.030341943,42.78056653,4.278127297,Ours_0.1,3,80,100,1103008,0.8,1
1.969826771,0.031260912,43.1191361,4.324255205,Ours_1,3,80,100,1103008,0.8,1
2.351468491,0.042298031,39.78514066,3.962334276,Ours_2,3,80,100,1103008,0.8,1
3.195804352,0.085171308,39.29750655,3.920894821,Ours_4,3,80,100,1103008,0.8,1
4.128220619,0.190667974,35.08400676,3.434618778,Ours_8,3,80,100,1103008,0.8,1
2.546615562,0.036884122,91.6889046,8.225650053,LDA,3,100,100,1103010,1,1
1.824790694,0.026925472,35.2061971,3.855881558,TopicScore,3,100,100,1103010,1,1
2.170381691,0.036929397,33.92439711,3.685922217,AWR,3,100,100,1103010,1,1
2.66160026,0.042242264,31.03179185,3.413868441,TSVD,3,100,100,1103010,1,1
5.165217286,1.137867478,38.48539271,4.264985107,Bing,3,100,100,1103010,1,1
1.814186937,0.026742278,35.39969554,3.881554557,Ours_0.1,3,100,100,1103010,1,1
1.818861736,0.026893502,34.65867379,3.786127644,Ours_1,3,100,100,1103010,1,1
2.187499168,0.03572192,35.46819073,3.889706443,Ours_2,3,100,100,1103010,1,1
3.010963173,0.069658682,36.15582283,3.977115578,Ours_4,3,100,100,1103010,1,1
